"confirmation","gender","borninus","ethnicity",politics,age,zipcode
"4ac1baee1c0ac634b6b69775d89c87","male","no","african-american",3,27,11103
"d28eaf8d9d42f8137616d8eab8b739","female","yes","caucasian",6,58,10510
"9a6d328a8d81c25f068b84fd7c6334","female","yes","caucasian",7,42,97078
"2f0b353c8d2b841a35cebc38deadc8","male","yes","asian-american",5,35,60647
"1ce540630bbdd0a94f8263ccdb54b0","female","yes","caucasian",6,56,97224
"92c052b30044da4ca47ece2cbadd82","female","yes","caucasian",7,45,11215
"2c094de9b83159c4ea351153beccd2","female","yes","caucasian",7,51,0
"c7fb38054ac74d665add4f86c8e528","male","no","caucasian",6,59,12572
"d37e6d76d5089e2b841185e6359bea","male","yes","caucasian",7,30,2766
"cb7d8867f43dbb16d282a9dd71fb94","male","yes","african-american",5,42,64113
"20bef6ee1320e43e4125b6e1d7a910","female","no","hispanic",6,24,94705
"20bef6ee1320e43e4125b6e1d7a910","female","no","hispanic",6,24,94705
"12c74912f2dfd852265b3ebb7d364a","male","yes","caucasian",7,63,90045
"0d187fe348e5e1f1ee27551e68f9c7","male","yes","caucasian",5,36,94110
"4c0e38b2f086dc38cd5a245eafedcc","male","yes","caucasian",5,23,90230
"","","","",0,0,0
"","","","",0,0,0
"7880b3510d037507976efcb68bd178","female","yes","caucasian",7,50,38111
"8fb0569e1ccde7dd7e6709fa9c111f","male","yes","caucasian",6,43,97217
"8339b13942b69c3dcff56817d3bffd","female","yes","caucasian",7,40,99614
"1d05be74ea32a1c4a5adff900ee5bd","male","yes","other",6,33,97211
"4f3be5919368d96a277429f626daf4","male","yes","asian-american",5,23,94117
"7ead014ab78f22aaa98cf0513e2ba0","male","yes","asian-american",7,34,11238
"72dc7061df07d65100c9028043699d","female","yes","caucasian",6,28,97211
"de860a7916c975aa2ce01f26a1668e","","","",4,0,0
"618ff9bff183e61442d473f93297e8","female","no","asian-american",7,21,10027
"1e4dcdb9633eed1e6aab2b9ab6bd21","male","yes","caucasian",6,26,45255
"1e4dcdb9633eed1e6aab2b9ab6bd21","male","yes","caucasian",6,26,45255
"5fa3418ced1b2163bc4589096f0232","male","yes","caucasian",6,29,95134
"75383ad6395f3c2a443ad4b7db4c50","male","yes","caucasian",5,22,96740
"b6ce2e0f29fbe00cd029d1f77cd6fd","male","yes","caucasian",7,66,55407
"860ef2ae450a5112d58873808118be","male","yes","caucasian",5,33,8540
"17f364b6ebaa17f1411a232dd08caf","female","yes","caucasian",7,21,87110
"17f364b6ebaa17f1411a232dd08caf","female","yes","caucasian",7,21,87110
"69bad693f6ec9a1ed24cf0d488dd72","male","yes","african-american",3,56,5701
"e451d8ea86bbdf6f7b49ebcc4dadbf","female","no","caucasian",7,39,3216
"cc909d19ffcbb2cd820724a10b16f1","male","yes","caucasian",7,46,98144
"238056198c4572d5ef79a07f2aa681","female","no","asian-american",2,40,94550
"08d7f8ad8bd1f55c848552392fe905","male","yes","other",7,51,10010
"788fe2f0ad98f9e5752ffc445c23ab","male","yes","caucasian",3,44,98391
"5e389fcc2961f9e1405ad0cc62c1ab","male","yes","caucasian",7,58,2139
"a2884cadd781a9636e9f70ae004469","female","no","other",4,27,12099
"ea0778b8311112a6926e8b264ccc59","male","no","asian-american",6,44,11581
"71054445196afaf26ece1647f13628","male","yes","other",6,61,99645
"f384a77be3d72ece5e876aa5dcbbd0","male","yes","asian-american",4,27,30328
"fe91689379d6cb885c3e984eb677b2","male","no","caucasian",6,39,29462
"495d7580327e0b64a93279c9579b71","female","yes","caucasian",7,32,90036
"495d7580327e0b64a93279c9579b71","female","yes","caucasian",7,32,90036
"36d394a3c6ebe7003934031473b01b","male","","caucasian",7,48,6520
"b4fba5c118c68f11b0f2125d987435","male","yes","caucasian",6,20,91105
"f4010213e32b4b305ba049d9f783b2","male","yes","african-american",5,33,20001
"d06cba604dc083f573de3b1cae1fa6","female","no","caucasian",6,64,98671
"0f273afd72e35d622dc2f8221c5dcf","male","no","caucasian",7,53,0
"9e3ee3224126cd30f44e20cf1307a1","male","yes","caucasian",4,22,97330
"f629106cd37024898bbce3aa32c65c","male","no","caucasian",7,48,94306
"64aaf4a876e654f0a2c2eb7b24c7c7","female","yes","caucasian",6,24,12077
"25ddf862087e47cd34ffa8b225fc68","male","no","caucasian",5,22,10033
"aa91d09602af7eacb8539db4407c6e","male","no","caucasian",7,67,20007
